date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:39	57454/57454	---M--	200	added ('OK')	image/png	etag:%2264138fa3-e06e%22	https://qantaradigital.com/images/Frame-7.png	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/Frame-7.png	(from https://qantaradigital.com/css/qantara.webflow.css)
14:22:39	189/189	---M--	200	added ('OK')	image/svg+xml	etag:%2264138fa3-bd%22	https://qantaradigital.com/images/Frame-7.svg	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/Frame-7.svg	(from https://qantaradigital.com/css/qantara.webflow.css)
14:22:39	187/187	---M--	200	added ('OK')	image/svg+xml	etag:%2264138fa4-bb%22	https://qantaradigital.com/images/Frame-10.svg	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/Frame-10.svg	(from https://qantaradigital.com/css/qantara.webflow.css)
14:22:39	413/413	---M--	200	added ('OK')	image/svg+xml	etag:%2264138fa3-19d%22	https://qantaradigital.com/images/Frame-6.svg	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/Frame-6.svg	(from https://qantaradigital.com/css/qantara.webflow.css)
14:22:39	411/411	---M--	200	added ('OK')	image/svg+xml	etag:%2264138fa4-19b%22	https://qantaradigital.com/images/Frame-11.svg	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/Frame-11.svg	(from https://qantaradigital.com/css/qantara.webflow.css)
14:22:40	679/679	---M--	200	added ('OK')	image/svg+xml	etag:%2264138fa4-2a7%22	https://qantaradigital.com/images/Frame-9.svg	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/Frame-9.svg	(from https://qantaradigital.com/css/qantara.webflow.css)
14:22:40	677/677	---M--	200	added ('OK')	image/svg+xml	etag:%2264138fa4-2a5%22	https://qantaradigital.com/images/Frame-13.svg	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/Frame-13.svg	(from https://qantaradigital.com/css/qantara.webflow.css)
14:22:40	212/212	---M--	200	added ('OK')	image/svg+xml	etag:%2264138fa3-d4%22	https://qantaradigital.com/images/Frame-8.svg	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/Frame-8.svg	(from https://qantaradigital.com/css/qantara.webflow.css)
14:22:40	210/210	---M--	200	added ('OK')	image/svg+xml	etag:%2264138fa4-d2%22	https://qantaradigital.com/images/Frame-12.svg	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/Frame-12.svg	(from https://qantaradigital.com/css/qantara.webflow.css)
14:22:40	5045314/5045314	---M--	200	added ('OK')	video/webm	etag:%2262036341-4cfc42%22	https://qantaradigital.com/videos/qantaraabidjan-short-transcode.webm	C:/My%20Web%20Sites/2peco/qantaradigital.com/videos/qantaraabidjan-short-transcode.webm	(from https://qantaradigital.com/)
14:22:41	3665464/3665464	---M--	200	added ('OK')	image/jpeg	etag:%2264138fa4-37ee38%22	https://qantaradigital.com/images/2019-RWC-retouched-v2.jpeg	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/2019-RWC-retouched-v2.jpg	(from https://qantaradigital.com/css/qantara.webflow.css)
14:22:41	295907/295907	---M--	200	added ('OK')	image/png	etag:%2264138fa6-483e3%22	https://qantaradigital.com/images/QantaraDA.png	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/QantaraDA.png	(from https://qantaradigital.com/css/qantara.webflow.css)
